time,strokeIdx,pointIdx,posX,posY,posZ,rotX,rotY,rotZ,rotW,width,colR,colG,colB,colA
57.46934,10,22,-0.1146736,0.8211753,-0.2362175,-0.3122646,-0.8936211,-0.2389746,0.216387,0.05693997,0.6523689,0.9261845,0.9261845,1
57.47988,10,23,-0.1138409,0.8095834,-0.2351286,-0.3068736,-0.8986856,-0.2306809,0.2120829,0.05693997,0.6523689,0.9261845,0.9261845,1
57.49108,10,24,-0.1129729,0.7985068,-0.2344128,-0.3045853,-0.9026441,-0.2222394,0.2075362,0.05693997,0.6523689,0.9261845,0.9261845,1
57.50255,10,25,-0.110301,0.786947,-0.2340927,-0.3070855,-0.9051184,-0.213504,0.2021762,0.05693997,0.6523689,0.9261845,0.9261845,1
57.51333,10,26,-0.1071572,0.7755259,-0.2332418,-0.3112289,-0.9068458,-0.2061184,0.1956594,0.05693997,0.6523689,0.9261845,0.9261845,1
57.52781,10,27,-0.1034341,0.7640426,-0.2327272,-0.3125093,-0.9096688,-0.198943,0.1877831,0.05693997,0.6523689,0.9261845,0.9261845,1
57.53667,10,28,-0.09934595,0.7537345,-0.2324586,-0.3111136,-0.913784,-0.1906004,0.1785459,0.05693997,0.6523689,0.9261845,0.9261845,1
57.54597,10,29,-0.09566671,0.7429194,-0.2318711,-0.3104864,-0.9174719,-0.1817894,0.1696945,0.05693997,0.6523689,0.9261845,0.9261845,1
57.55844,10,30,-0.09233341,0.7334453,-0.2319136,-0.3120721,-0.9200692,-0.1737277,0.1609427,0.05693997,0.6523689,0.9261845,0.9261845,1
57.5689,10,31,-0.08872941,0.725319,-0.2320482,-0.3171068,-0.9211154,-0.1668142,0.1521934,0.05693997,0.6523689,0.9261845,0.9261845,1
57.57987,10,32,-0.08564278,0.7188082,-0.2320276,-0.3250153,-0.9207206,-0.1612753,0.1436278,0.05693997,0.6523689,0.9261845,0.9261845,1
57.59151,10,33,-0.08338654,0.7130652,-0.2323757,-0.3325195,-0.919909,-0.1564601,0.1368157,0.05693997,0.6523689,0.9261845,0.9261845,1
57.60217,10,34,-0.08299834,0.7135267,-0.2332875,-0.3390282,-0.9178686,-0.1555259,0.1356058,0.05693997,0.6523689,0.9261845,0.9261845,1
57.61308,10,35,-0.08303085,0.7129392,-0.2333695,-0.339444,-0.9181319,-0.154125,0.1343775,0.05693997,0.6523689,0.9261845,0.9261845,1
57.62439,10,36,-0.08410314,0.7146067,-0.2340102,-0.3361051,-0.9190233,-0.1550162,0.1356447,0.05693997,0.6523689,0.9261845,0.9261845,1
57.63533,10,37,-0.08750996,0.7249439,-0.2348241,-0.3241974,-0.9202763,-0.1644183,0.1447563,0.05693997,0.6523689,0.9261845,0.9261845,1
57.64645,10,38,-0.08952573,0.7312849,-0.2350689,-0.3212735,-0.9191232,-0.1710315,0.1508116,0.05693997,0.6523689,0.9261845,0.9261845,1
57.65763,10,39,-0.0933595,0.7421367,-0.2353317,-0.3207709,-0.915921,-0.1814866,0.1589258,0.05693997,0.6523689,0.9261845,0.9261845,1
57.66925,10,40,-0.09531942,0.7533919,-0.2355634,-0.32172,-0.9121742,-0.1926876,0.1652454,0.05693997,0.6523689,0.9261845,0.9261845,1
57.6812,10,41,-0.09772852,0.7638107,-0.2351098,-0.3216121,-0.9093451,-0.2018035,0.1700952,0.05693997,0.6523689,0.9261845,0.9261845,1
57.69107,10,42,-0.099004,0.7757936,-0.2349006,-0.3216664,-0.9063451,-0.2113521,0.1743546,0.05693997,0.6523689,0.9261845,0.9261845,1
57.70293,10,43,-0.1001014,0.7877114,-0.2349274,-0.3203626,-0.9043432,-0.2192746,0.1773413,0.05693997,0.6523689,0.9261845,0.9261845,1
57.71364,10,44,-0.1003487,0.7990014,-0.2347232,-0.3201202,-0.902333,-0.2265627,0.1788503,0.05693997,0.6523689,0.9261845,0.9261845,1
57.72503,10,45,-0.09988961,0.8099236,-0.2345735,-0.3219922,-0.8999465,-0.2337718,0.1782365,0.05693997,0.6523689,0.9261845,0.9261845,1
57.73563,10,46,-0.09961972,0.8201478,-0.2343599,-0.3244773,-0.8973528,-0.2407636,0.1774976,0.05693997,0.6523689,0.9261845,0.9261845,1
57.7472,10,47,-0.09834445,0.8298295,-0.2344341,-0.329097,-0.8942919,-0.2467777,0.1761755,0.05693997,0.6523689,0.9261845,0.9261845,1
57.75869,10,48,-0.09741169,0.8391551,-0.2340439,-0.3324572,-0.8917117,-0.2519357,0.1756447,0.05693997,0.6523689,0.9261845,0.9261845,1
57.76913,10,49,-0.09773436,0.847791,-0.2333741,-0.3328461,-0.8898001,-0.257809,0.1760789,0.05693997,0.6523689,0.9261845,0.9261845,1
57.78059,10,50,-0.09790179,0.8565429,-0.2327462,-0.3329385,-0.8870532,-0.2651775,0.1788003,0.05693997,0.6523689,0.9261845,0.9261845,1
57.79189,10,51,-0.09922382,0.8646329,-0.2312282,-0.3308629,-0.8846155,-0.2720345,0.1843435,0.05693997,0.6523689,0.9261845,0.9261845,1
57.8025,10,52,-0.1024701,0.8706301,-0.2294973,-0.3280385,-0.8837975,-0.2748183,0.1891234,0.05693997,0.6523689,0.9261845,0.9261845,1
57.81412,10,53,-0.1049773,0.8774449,-0.228279,-0.3280146,-0.8819166,-0.2783221,0.1927862,0.05693997,0.6523689,0.9261845,0.9261845,1
57.82499,10,54,-0.1092336,0.8828457,-0.2263993,-0.327817,-0.8801057,-0.2805653,0.1980734,0.05693997,0.6523689,0.9261845,0.9261845,1
57.83716,10,55,-0.1138964,0.888077,-0.2240906,-0.3254397,-0.8786368,-0.2835293,0.2041999,0.05693997,0.6523689,0.9261845,0.9261845,1
57.84756,10,56,-0.120954,0.8926739,-0.2217336,-0.3168496,-0.879539,-0.2836307,0.2134743,0.05693997,0.6523689,0.9261845,0.9261845,1
57.85881,10,57,-0.1292228,0.8964376,-0.2188161,-0.3025524,-0.8822989,-0.2814709,0.2253551,0.05693997,0.6523689,0.9261845,0.9261845,1
57.87055,10,58,-0.1383244,0.8990021,-0.215655,-0.2865491,-0.8854433,-0.2783006,0.2375474,0.05693997,0.6523689,0.9261845,0.9261845,1
57.88377,10,59,-0.1463451,0.9011165,-0.2127302,-0.2755279,-0.8867183,-0.2761063,0.248154,0.05693997,0.6523689,0.9261845,0.9261845,1
57.89306,10,60,-0.1530332,0.902816,-0.2097804,-0.2696692,-0.8862622,-0.2744176,0.2579009,0.05693997,0.6523689,0.9261845,0.9261845,1
57.90417,10,61,-0.1573611,0.9009687,-0.2068089,-0.2772585,-0.8826301,-0.2701403,0.2666762,0.05693997,0.6523689,0.9261845,0.9261845,1
60.42797,11,1,-0.1592439,0.7248904,-0.1687056,-0.2557141,-0.9253439,-0.1844168,0.2105691,0.05693997,0,0.3532341,1,1
60.43878,11,2,-0.1653102,0.7260705,-0.1672601,-0.2488016,-0.9265628,-0.1829497,0.2147291,0.05693997,0,0.3532341,1,1
60.44961,11,3,-0.1729266,0.729674,-0.1646091,-0.243011,-0.9266665,-0.1836472,0.2202468,0.05693997,0,0.3532341,1,1
60.46227,11,4,-0.1811963,0.7341218,-0.1619256,-0.2376357,-0.9257179,-0.185251,0.2285997,0.05693997,0,0.3532341,1,1
60.47338,11,5,-0.1901598,0.7399188,-0.1586225,-0.2338862,-0.9228884,-0.1889124,0.2405961,0.05693997,0,0.3532341,1,1
60.48345,11,6,-0.199165,0.7478019,-0.1548196,-0.2312726,-0.918901,-0.1953989,0.2528899,0.05693997,0,0.3532341,1,1
60.4948,11,7,-0.2075508,0.756892,-0.1508442,-0.23107,-0.9138579,-0.2030815,0.2650066,0.05693997,0,0.3532341,1,1
60.50575,11,8,-0.2155998,0.7657835,-0.1470222,-0.2290899,-0.9098802,-0.2094051,0.2752915,0.05693997,0,0.3532341,1,1
60.51751,11,9,-0.2241094,0.7776044,-0.1425762,-0.2265149,-0.9056809,-0.216696,0.2854401,0.05693997,0,0.3532341,1,1
60.53025,11,10,-0.2312807,0.7901236,-0.1380578,-0.224494,-0.9013116,-0.2244609,0.2947155,0.05693997,0,0.3532341,1,1
60.54042,11,11,-0.2381564,0.8037416,-0.1337493,-0.2234068,-0.8963642,-0.2335719,0.3034222,0.05693997,0,0.3532341,1,1
60.55031,11,12,-0.2445619,0.8168589,-0.1295526,-0.223619,-0.8912913,-0.2422445,0.3113071,0.05693997,0,0.3532341,1,1
60.56145,11,13,-0.2487689,0.8315821,-0.1254323,-0.2280473,-0.8854796,-0.2515908,0.3172104,0.05693997,0,0.3532341,1,1
60.57348,11,14,-0.2533086,0.845844,-0.1217028,-0.2321917,-0.8797098,-0.2603055,0.3231699,0.05693997,0,0.3532341,1,1
60.58487,11,15,-0.2548831,0.861414,-0.1187435,-0.2412254,-0.8727838,-0.2706938,0.3267776,0.05693997,0,0.3532341,1,1
60.59551,11,16,-0.2567056,0.8762794,-0.1158631,-0.2470772,-0.8668915,-0.2797305,0.3304588,0.05693997,0,0.3532341,1,1
60.60712,11,17,-0.2588257,0.8905014,-0.1132751,-0.2512316,-0.8615989,-0.2883306,0.3337597,0.05693997,0,0.3532341,1,1
